# Species	Genes	Alg.-Conn.	Anoxybacillus_flavithermus_WK1_ASM1904v1_genomic.g2d.faa	Bacillus_amyloliquefaciens_XH7_ASM22164v1_genomic.g2d.faa	Bacillus_anthracis_Ames_ASM83306v1_genomic.g2d.faa	Bacillus_clausii_KSM-K16_ASM982v1_genomic.g2d.faa	Bacillus_licheniformis_DSM_13___ATCC_14580_ASM842v1_genomic.g2d.faa	Bacillus_licheniformis_SCDB_14_ASM207409v1_genomic.g2d.faa	Bacillus_megaterium_DSM_319_ASM2580v1_genomic.g2d.faa	Bacillus_subtilis_subsp_subtilis_str_168_ASM904v1_genomic.g2d.faa	Bacillus_thuringiensis_BMB171_ASM9216v1_genomic.g2d.faa	Clostridioides_difficile_630_ASM920v1_genomic.g2d.faa	Clostridium_acetobutylicum_ATCC_824_ASM876v1_genomic.g2d.faa	Clostridium_beijerinckii_NCIMB_8052_ASM1696v1_genomic.g2d.faa	Clostridium_botulinum_A_str_ATCC_3502_ASM6358v1_genomic.g2d.faa	Clostridium_kluyveri_DSM_555_ASM1650v1_genomic.g2d.faa	Clostridium_novyi_NT_ASM1412v1_genomic.g2d.faa	Clostridium_perfringens_ATCC_13124_ASM1328v1_genomic.g2d.faa	Clostridium_tetani_E88_Massachusetts_substr_E88_ASM762v1_genomic.g2d.faa	Corynebacterium_glutamicum_CP_ASM144786v2_genomic.g2d.faa	Enterococcus_faecalis_V583_ASM778v1_genomic.g2d.faa	Geobacillus_kaustophilus_HTA426_ASM978v1_genomic.g2d.faa	Lactobacillus_acidophilus_NCFM_ASM1198v1_genomic.g2d.faa	Lactobacillus_brevis_ATCC_367_ASM1446v1_genomic.g2d.faa	Lactobacillus_casei_BL23_ASM2648v1_genomic.g2d.faa	Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_BAA-365_ASM1440v1_genomic.g2d.faa	Lactobacillus_fermentum_IFO_3956_ASM1014v1_genomic.g2d.faa	Lactobacillus_helveticus_DPC_4571_ASM1538v1_genomic.g2d.faa	Lactobacillus_johnsonii_NCC_533_ASM806v1_genomic.g2d.faa	Lactobacillus_pentosus_BGM48_ASM285001v1_genomic.g2d.faa	Lactobacillus_plantarum_WCFS1_NCIMB8826_ASM20385v3_genomic.g2d.faa	Lactobacillus_reuteri_JCM_1112_ASM1000v1_genomic.g2d.faa	Lactobacillus_rhamnosus_GG_ASM335345v1_genomic.g2d.faa	Lactobacillus_sakei_DS4_ASM295365v1_genomic.g2d.faa	Lactobacillus_salivarius_UCC118_ASM892v1_genomic.g2d.faa	Lactococcus_lactis_subsp_cremoris_MG1363_ASM942v1_genomic.g2d.faa	Leuconostoc_mesenteroides_subsp_mesenteroides_ATCC_8293_ASM1444v1_genomic.g2d.faa	Oenococcus_oeni_PSU-1_ASM1438v1_genomic.g2d.faa	Paenibacillus_polymyxa_SQR-21_SQR21_ASM59798v1_genomic.g2d.faa	Pediococcus_pentosaceus_ATCC_25745_ASM1450v1_genomic.g2d.faa	Staphylococcus_aureus_subsp_aureus_NCTC_8325_ASM1342v1_genomic.g2d.faa	Streptococcus_agalactiae_2603V_R_ASM726v1_genomic.g2d.faa	Streptococcus_anginosus_J4211_ASM141263v1_genomic.g2d.faa	Streptococcus_dysgalactiae_subsp_equisimilis_GGS_124_ASM1070v1_genomic.g2d.faa	Streptococcus_equi_subsp_zooepidemicus_MGCS10565_MGCS10565_ATCC_BAA1716_ASM2076v1_genomic.g2d.faa	Streptococcus_gallolyticus_UCN34_ASM2718v1_genomic.g2d.faa	Streptococcus_gordonii_str_Challis_substr_CH1_ASM1700v1_genomic.g2d.faa	Streptococcus_intermedius_JTH08_ASM30680v1_genomic.g2d.faa	Streptococcus_lutetiensis_033_ASM44153v1_genomic.g2d.faa	Streptococcus_mitis_B6_ASM2716v1_genomic.g2d.faa	Streptococcus_mutans_UA159_ASM746v2_genomic.g2d.faa	Streptococcus_pneumoniae_D39_ASM1436v2_genomic.g2d.faa	Streptococcus_pyogenes_HSC5_ASM42204v1_genomic.g2d.faa	Streptococcus_pyogenes_MGAS5005_ASM1176v2_genomic.g2d.faa	Streptococcus_suis_P1_7_ASM9190v1_genomic.g2d.faa	Streptococcus_thermophilus_CNRZ1066_ASM1184v1_genomic.g2d.faa	Streptococcus_uberis_0140J_ASM954v1_genomic.g2d.faa	Tetragenococcus_halophilus_MJ4_ASM171281v1_genomic.g2d.faa
35	35	0.00153	Aflv_0907	BAXH7_02590	BF25_RS03650	*	BLi02645	B14_RS09070	BMD_4478	BSU24700	BMB171_C3908	*	*	*	*	*	*	*	*	*	*	GK2432	*	*	LCABL_11900	*	LAF_0547	*	*	BB562_06250	lp_2246	*	DU507_05165	C0213_07215	LSL_0427	llmg_2405	*	*	*	PEPE_1235	SAOUHSC_01639	*	SanJ4211_0221	SDEG_0137	Sez_0118	GALLO_0090	SGO_1921	SCIM_RS08230	KE3_RS00250	smi_0208	SMU_1983	SPD_1860	L897_00690	M5005_Spy0089	SSU0129	str1862	SUB0121	AC806_RS01075
33	33	0.00146	Aflv_0909	BAXH7_02588	BF25_RS03660	*	BLi02643	B14_RS09080	BMD_4476	BSU24680	BMB171_C3906	*	*	*	*	*	*	*	*	*	EF_1986	GK2430	*	LVIS_1193	*	*	*	*	*	BB562_06260	lp_2244	*	*	*	*	llmg_2403	LEUM_0466	OEOE_1252	*	*	*	SAG0165	SanJ4211_0223	SDEG_0139	Sez_0119	GALLO_0092	SGO_1919	SCIM_RS08220	KE3_RS00260	smi_0210	SMU_1981c	SPD_1858	L897_00700	M5005_Spy0091	SSU0131	str1860	SUB0123	AC806_RS01085
12	12	0.00712	*	BAXH7_03681	BF25_RS17185	*	BLi03802	B14_RS03355	*	BSU35570	BMB171_C1423	*	CA_C2318	*	CBO3098	CKL_3165	NT01CX_1796	*	CTC_02257	*	*	GK3314	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
12	12	0.00611	*	*	*	*	*	*	*	*	*	*	*	*	CBO2629A	*	NT01CX_1641	CPF_1896	CTC_00993	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	SanJ4211_0073	*	*	GALLO_2067	SGO_0128	SCIM_RS00505	*	smi_0799	*	*	L897_00875	M5005_Spy0125	*	*	*	AC806_RS01305
14	14	0.0142	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	EF_0683	*	LBA1590	LVIS_1486	*	LBUL_1428	*	lhv_1664	LJ_1675	BB562_10295	lp_1417	LAR_1200	*	C0213_03510	*	*	LEUM_0729	OEOE_0903	*	PEPE_0675	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	AC806_RS00710
17	17	0.00299	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	EF_2148	*	LBA0844	LVIS_1390	LCABL_15570	LBUL_0708	LAF_0617	lhv_0894	LJ_1008	BB562_06920	lp_2121	LAR_0627	DU507_07025	C0213_06085	LSL_0641	*	LEUM_0626	OEOE_1281	*	PEPE_1144	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
11	11	0.0269	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	LVIS_0727	LCABL_17550	*	LAF_0810	*	LJ_1395	BB562_07675	lp_1988	*	DU507_08220	C0213_04100	*	*	LEUM_1186	OEOE_0586	*	PEPE_1121	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
24	24	0.0164	Aflv_0020	BAXH7_00025	BF25_RS25215	ABC0040	BLi00031	B14_RS00455	BMD_0027	BSU00220	BMB171_C0021	*	*	*	*	*	*	*	*	*	*	GK0020	LBA0380	LVIS_0603	LCABL_24420	LBUL_1512	LAF_0286	lhv_0403	LJ_0426	BB562_13545	lp_0701	LAR_0318	DU507_11760	C0213_01655	LSL_1225	*	LEUM_0278	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
7	7	0.0121	*	*	*	*	*	*	*	*	*	CD630_29440	*	*	CBO1691	*	NT01CX_2192	*	*	*	*	*	*	*	*	*	*	*	LJ_1449	*	*	*	*	*	*	*	*	*	*	*	*	SAG0565	*	SDEG_1650	*	*	*	*	*	*	*	*	*	M5005_Spy1037	*	*	*	*
7	7	0.0222	*	*	*	*	*	*	BMD_2856	*	BMB171_C1665	*	*	*	CBO3606	*	*	CPF_2938	*	*	*	*	*	*	*	*	*	*	*	*	*	*	DU507_09010	*	*	*	*	*	*	*	SAOUHSC_02464	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	AC806_RS06440
8	8	0.0143	*	BAXH7_01673	*	*	BLi03709	B14_RS03810	*	BSU18849	*	*	*	*	*	*	*	*	*	AC079_08530	*	*	*	*	*	*	*	*	*	BB562_14900	*	*	*	*	*	*	*	*	*	*	SAOUHSC_01181	SAG0612	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.023	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	LVIS_1264	*	LBUL_0651	*	lhv_2404	LJ_0948	BB562_05800	lp_2339	*	*	*	LSL_1080	*	*	*	*	PEPE_1299	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
12	12	0.0051	*	BAXH7_01037	*	ABC3929	BLi01144	B14_RS16040	BMD_0857	BSU10570	*	*	*	*	*	*	*	*	*	AC079_00855	*	GK1526	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	SAOUHSC_01769	*	*	SDEG_0995	Sez_0985	*	*	*	*	*	*	*	*	*	*	*	*	AC806_RS08210
24	24	0.00255	Aflv_0198	BAXH7_00468	BF25_RS24000	ABC0808	BLi00552	B14_RS19030	BMD_0221	BSU04650	BMB171_C0227	CD630_34620	CA_C0493	Cbei_4873	CBO3396	CKL_3580	NT01CX_1265	CPF_0290	*	*	*	GK0232	*	*	LCABL_27270	*	*	*	*	*	*	*	DU507_13210	C0213_08895	LSL_0359	*	*	*	PPSQR21_012840	PEPE_1558	SAOUHSC_02304	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
43	43	0.0124	Aflv_1837	BAXH7_01951	BF25_RS05635	ABC2363	BLi01732	B14_RS13670	BMD_4270	BSU15150	BMB171_C3581	*	*	*	*	*	*	*	*	*	EF_0990	GK1112	*	LVIS_1453	LCABL_14980	LBUL_0670	LAF_0570	*	LJ_0968	BB562_06580	lp_2201	*	DU507_06705	C0213_04140	LSL_1054	llmg_1680	LEUM_1499	OEOE_1150	*	PEPE_1190	SAOUHSC_01144	SAG0286	SanJ4211_0352	SDEG_1725	Sez_1587	GALLO_0410	SGO_0574	SCIM_RS01840	KE3_RS02225	smi_1768	SMU_454	SPD_0305	L897_06845	M5005_Spy1367	SSU1549	str1702	SUB1420	AC806_RS08450
5	5	0.0325	*	*	*	*	*	*	*	*	BMB171_C0827	*	*	*	*	*	*	*	*	*	EF_2022	*	*	*	*	*	*	*	*	BB562_12460	*	*	DU507_10290	*	*	*	*	*	*	*	*	*	*	*	*	*	SGO_2070	*	*	*	*	*	*	*	*	*	*	*
3	5	0.159	*	*	*	*	*	*	*	*	*	*	*	*	CBO1725	CKL_1865,CKL_1964,CKL_3275	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	L897_05055	*	*	*	*	*
5	5	0.0303	*	BAXH7_03296	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	LAF_0931	*	*	*	*	*	*	*	*	*	*	*	PPSQR21_032250	*	*	*	*	*	*	*	*	*	KE3_RS06860	*	*	*	L897_07585	*	*	*	*	*
2	5	0.197	*	*	*	*	*	*	*	*	*	*	*	Cbei_4044	*	CKL_0850,CKL_0852,CKL_0854,CKL_0856	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
5	5	0.0195	*	*	BF25_RS04940	*	BLi01622	B14_RS14200	BMD_1305	*	BMB171_C3652	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
4	5	0.124	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	lp_0679	*	*	C0213_03380	*	*	*	*	*	PEPE_0803	SAOUHSC_01519,SAOUHSC_02027	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
6	6	0.0463	*	*	*	*	*	*	*	*	*	*	CA_C2100	Cbei_1685	CBO1904	CKL_1210	NT01CX_1961	*	CTC_01598	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
6	6	0.0349	*	*	*	*	*	*	*	*	*	*	*	*	CBO0872	*	*	*	*	*	*	*	*	*	*	*	*	*	*	BB562_00380	lp_0091	*	*	C0213_06930	*	llmg_2340	LEUM_0229	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
3	5	0.143	*	*	BF25_RS06940,BF25_RS22820	*	*	*	*	*	*	*	*	Cbei_0905	*	*	*	*	*	*	*	*	*	*	LCABL_09810,LCABL_11070	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
5	5	0.0701	*	*	*	*	*	*	*	*	*	*	CA_C0862	Cbei_3667	CBO0778	*	*	CPF_1194	CTC_00160	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
10	10	0.0216	*	*	BF25_RS14960	ABC3900	*	*	BMD_0483	*	BMB171_C1851	*	*	Cbei_3901	*	*	*	*	*	*	EF_1695	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	SGO_1086	SCIM_RS03900	*	smi_1596	*	SPD_0514	*	*	*	*	*	*
5	5	0.0369	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	EF_3153	*	*	*	LCABL_22640	*	*	*	*	BB562_02575	lp_3073	*	DU507_10885	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
19	19	0.0113	Aflv_2845	BAXH7_04191	BF25_RS25440	ABC4104	BLi04355	B14_RS00740	BMD_5254	BSU40520	BMB171_C5071	CD630_36600	CA_C3719	*	CBO3624	CKL_3906	NT01CX_0887	CPF_2974	CTC_00110	*	*	GK3479	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	PPSQR21_051450	*	SAOUHSC_00014	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
19	19	0.0143	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	EF_0985	*	*	LVIS_1457	*	LBUL_0666	*	*	*	*	*	*	*	C0213_04125	LSL_1059	llmg_2052	LEUM_1503	*	*	*	*	SAG1471	SanJ4211_1050c	SDEG_1316	*	GALLO_1410	SGO_0892	*	*	smi_0997	SMU_800	SPD_0963	L897_05410	M5005_Spy1089	*	*	SUB1158	AC806_RS08475
14	14	0.0182	*	BAXH7_03240	*	ABC0689	BLi03378	B14_RS05445	BMD_0350	BSU31900	BMB171_C1867	*	CA_C3711	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	llmg_1966	*	*	*	*	SAOUHSC_00260	SAG1036	*	*	*	GALLO_0555	SGO_0062	SCIM_RS01430	*	*	*	*	*	*	*	*	*	*
3	31	0.244	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	LCABL_00530,LCABL_01280,LCABL_02980,LCABL_03380,LCABL_03630,LCABL_22180,LCABL_22250	*	*	*	*	*	*	*	DU507_05370,DU507_14335,DU507_13970,DU507_11305,DU507_10670,DU507_10625,DU507_10480,DU507_10295,DU507_09115,DU507_08280,DU507_08035,DU507_06540,DU507_00130,DU507_03030,DU507_02645,DU507_02630,DU507_02555,DU507_02405,DU507_02320,DU507_01965,DU507_01920,DU507_01760,DU507_00150	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	AC806_RS07585
53	53	0.0146	Aflv_0090	BAXH7_00107	BF25_RS24820	ABC0135	BLi00118	B14_RS21260	BMD_0119	BSU01000	BMB171_C0091	CD630_00590	CA_C3150	Cbei_0138	CBO3494	CKL_0210	NT01CX_1101	CPF_2728	*	AC079_03015	EF_2730	GK0091	*	LVIS_0586	LCABL_24730	LBUL_1546	LAF_0266	lhv_0380	LJ_0408c	BB562_13675	lp_0616	LAR_0295	DU507_11955	C0213_09190	LSL_1242	llmg_2389	LEUM_0267	OEOE_1423	PPSQR21_045510	PEPE_1495	SAOUHSC_00516	SAG2064	SanJ4211_0106	SDEG_2031	Sez_0159	*	SGO_2008	SCIM_RS00630	KE3_RS00415	smi_0237	SMU_1948	SPD_1820	L897_08725	M5005_Spy1751	SSU1775	str0214	SUB1732	AC806_RS08730
9	9	0.00911	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	LBA1129	*	*	*	*	*	LJ_1579	BB562_15770	lp_3477	LAR_0981	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	smi_0393	SMU_1207	SPD_0496	*	*	SSU0415	*	*	*
11	11	0.0152	*	*	*	*	BLi01475	*	*	*	*	*	*	*	*	*	NT01CX_2170	*	*	*	EF_0343	*	*	*	LCABL_13350	*	*	*	LJ_1430	*	*	*	DU507_05920	*	*	*	*	*	*	PEPE_0791	SAOUHSC_02038	*	*	*	*	GALLO_0459	*	*	*	*	*	*	L897_05015	M5005_Spy1431	*	*	*	*
